,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
0,BRT039c-24-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,95.0,0.5278881469170431,0.02599446550983726,0.47912022680465494,0.9875481309156466,baseline
1,BRT039c-24-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.0009294176785357077,95.0,0.5278881469170431,0.02599446550983726,0.010215247656932741,0.030705584334967912,ACTIVE_0
2,BRT039c-24-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.007504887236531918,95.0,0.5278881469170431,0.02599446550983726,0.006501875123013855,-0.04775874655529153,ACTIVE_1
3,BRT039c-24-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00013852625488133043,95.0,0.5278881469170431,0.02599446550983726,0.001432090820467666,-0.06558731050939003,PASSIVE_1
4,BRT039c-24-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.009450256484503917,95.0,0.5278881469170431,0.02599446550983726,0.00950451607054062,0.06892667027109489,ACTIVE_2
5,BRT039c-24-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,0.0008961264878794713,95.0,0.5278881469170431,0.02599446550983726,-0.0006219958430750157,-0.04475579974925667,PASSIVE_2
6,BRT039c-40-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,95.4293,0.45234904079798816,0.025676165814342934,0.6141399692747208,0.9808605080323094,baseline
7,BRT039c-40-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.0004180380781731258,95.4293,0.45234904079798816,0.025676165814342934,0.0009356363945348445,0.05382908743770122,ACTIVE_0
8,BRT039c-40-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.001433052985384199,95.4293,0.45234904079798816,0.025676165814342934,0.003854374465203543,-0.04798007175088799,ACTIVE_1
9,BRT039c-40-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00100651062700682,95.4293,0.45234904079798816,0.025676165814342934,-1.7023277172948607e-05,0.06920293767447881,PASSIVE_1
10,BRT039c-40-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.0006613086536123941,95.4293,0.45234904079798816,0.025676165814342934,-0.0037504331202545585,0.02332140428880109,ACTIVE_2
11,BRT039c-40-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,0.002718437090954658,95.4293,0.45234904079798816,0.025676165814342934,0.004037369463692149,-0.03759581538365211,PASSIVE_2
12,BRT039c-03-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,95.0,0.5026549533402628,0.02326509572593263,0.18621083402032698,0.9896625391286509,baseline
13,BRT039c-03-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.004123248914976165,95.0,0.5026549533402628,0.02326509572593263,-0.0007635618056045977,0.013000531519596268,ACTIVE_0
14,BRT039c-03-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0024429229468663767,95.0,0.5026549533402628,0.02326509572593263,0.0016665231990354325,-0.01613495329327684,ACTIVE_1
15,BRT039c-03-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.0005152124302370054,95.0,0.5026549533402628,0.02326509572593263,-0.012956539808255566,-0.05582380990432324,PASSIVE_1
16,BRT039c-03-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.0055709641206166125,95.0,0.5026549533402628,0.02326509572593263,-0.00268306507602921,0.04441512493635224,ACTIVE_2
17,BRT039c-03-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,-0.0019877665247461417,95.0,0.5026549533402628,0.02326509572593263,0.005287362769619315,0.03863745741996394,PASSIVE_2
18,BRT039c-45-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,77.0083,0.6860885368759193,0.011756910532368077,0.8009936406056573,0.9887876444019899,baseline
19,BRT039c-45-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,-0.00017973902462696477,77.0083,0.6860885368759193,0.011756910532368077,-0.01172556582894432,0.008006143184640041,ACTIVE_0
