"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist",
"btn111b-b1",3.1424,9398,3.1424,9398,"btn111b01_p_TOR",1.7372,9398,"btn111b02_a_PTD",10000,-0.089574,,,,,,,,,,,,,,
"btn112d-b1",1.9323,17648,1.9323,17648,"btn112d01_p_TOR",0.64645,18277,"btn112d02_a_PTD",17000,0.05397,,,,,,,,,,,,,,
"btn112e-b1",0.35264,14304,0.33595,17648,"btn112e06_p_PTD",0.35264,14304,"btn112e07_a_PTD",13000,0.13791,,,,,,,,,,,,,,
"btn114b-b1",0.30131,288,0.30131,288,"btn114b01_p_TOR",0.20871,504,"btn114b02_a_PTD",450,-0.64386,,,,,,,,,,,,,,
"btn114d-b1",2.8562,17648,2.5225,18928,"btn114d02_p_TOR",2.8562,17648,"btn114d03_a_PTD",20000,-0.1805,,,,,,,,,,,,,,
"btn116a-b1",0.59982,441,0.59982,441,"btn116a04_p_PTD",,,,,,,,,,,,,,0.58897,457,"btn116a02_a_PTD",500,-0.18115,
"btn117f-a1",2.988,7889,2.988,7889,"btn117f03_p_TOR",,,,,,,,,,,,,,1.801,7355,"btn117f02_a_PTD",8000,-0.020158,
"btn118a-b1",1.5391,648,1.5391,648,"btn118a07_p_PTD",,,,,,,,,,,,,,0.72608,490,"btn118a03_a_PTD",600,0.11103,
"btn119a-b1",0.83991,507,0.83991,507,"btn119a01_p_TOR",0.11159,160,"btn119a02_a_PTD",500,0.020058,,,,,,,,,,,,,,
"btn119b-b1",4.3305,16454,4.3305,16454,"btn119b01_p_TOR",3.0829,16454,"btn119b02_a_PTD",17000,-0.047096,,,,,,,,,,,,,,
"btn120a-b1",2.7733,1095,2.7733,1095,"btn120a01_p_TOR",2.282,1095,"btn120a02_a_PTD",1100,-0.0065727,,,,,,,,,,,,,,
"btn120b-b1",3.7579,8461,3.7579,8461,"btn120b01_p_TOR",0.89232,4666,"btn120b02_a_PTD",5000,0.7589,,,,,,,,,,,,,,
"btn123a-a1",3.7349,7407,3.7349,7407,"btn123a04_p_PTD",,,,,,,,,,,,,,2.6973,7407,"btn123a02_a_PTD",8000,-0.11111,
"btn123b-a1",0.64752,490,0.35392,473,"btn123b01_p_TOR",0.64752,490,"btn123b02_a_PTD",500,-0.029146,,,,,,,,,,,,,,
"btn131a-a1",3.1102,10810,3.0475,10810,"btn131a01_p_TOR",3.1102,10810,"btn131a02_a_PTD",10500,0.041977,,,,,,,,,,,,,,
"btn134a-a1",5.6004,12007,5.6004,12007,"btn134a01_p_TOR",2.8399,12007,"btn134a02_a_PTD",12000,0.00084133,,,,,,,,,,,,,,
