,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
0,BRT016f-a1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.7394158535299172,0.011597382664112437,0.3972522415173951,1.1866832491141708,baseline
1,BRT016f-a1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.001858239606659288,95.0,0.7394158535299172,0.011597382664112437,0.012197283388031261,0.012354560513223948,pupil
2,BRT016f-a1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.0005296842450172668,95.0,0.7394158535299172,0.011597382664112437,-0.07584713137885221,-0.03485171122127164,active
3,bbl081d-a2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,75.0,0.31519886719800333,0.014672181209478075,0.0026513838075563592,1.0244741658147345,baseline
4,bbl081d-a2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.021183186986270745,75.0,0.31519886719800333,0.014672181209478075,0.016872042011240162,0.011834449360804033,pupil
5,bbl081d-a2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-8.941785414410096e-05,75.0,0.31519886719800333,0.014672181209478075,-0.008419676781746228,0.024383350367448278,active
6,ley046g-23-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.7491675036153761,0.027476034683825847,0.27034449592784154,0.9583090845488764,baseline
7,ley046g-23-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.0007368669085578138,95.0,0.7491675036153761,0.027476034683825847,0.0006778750765687956,0.024551614469868765,pupil
8,ley046g-23-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-4.1377206797153336e-05,95.0,0.7491675036153761,0.027476034683825847,0.055746417350690546,0.1813412550494897,active
9,ley046g-59-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,76.5731,0.3313141282438334,0.02816675108179138,-0.20436238129351852,1.045570370035532,baseline
10,ley046g-59-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.000625282730687318,76.5731,0.3313141282438334,0.02816675108179138,0.003926238887498451,-0.014578083321476813,pupil
11,ley046g-59-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.002599254047326362,76.5731,0.3313141282438334,0.02816675108179138,0.0735649315420926,0.036668266076156183,active
