"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_3_snr","ACTIVE_3_bf","ACTIVE_3","ACTIVE_3_tf","ACTIVE_3_tardist","PASSIVE_2_snr","PASSIVE_2_bf","PASSIVE_2","PASSIVE_3_snr","PASSIVE_3_bf","PASSIVE_3","ACTIVE_4_snr","ACTIVE_4_bf","ACTIVE_4","ACTIVE_4_tf","ACTIVE_4_tardist","PASSIVE_4_snr","PASSIVE_4_bf","PASSIVE_4","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist","ACTIVE_5_snr","ACTIVE_5_bf","ACTIVE_5","ACTIVE_5_tf","ACTIVE_5_tardist",
"bbl028d-a1",0.4372,604,0.27273,583,"bbl028d07_p_PTD",0.40756,544,"bbl028d08_a_PTD",500,0.27262,0.4372,604,"bbl028d10_p_PTD",0.30454,563,"bbl028d09_a_PTD",500,0.27262,,,,,,,,,,,,,,,,,,,,0.26871,507,"bbl028d06_a_PTD",500,0.27262,,,,,,
"bbl029f-a1",1.1295,438,1.1295,438,"bbl029f03_p_PTD",0.59118,559,"bbl029f04_a_PTD",1500,-1.776,0.87559,7459,"bbl029f06_p_PTD",0.58737,7725,"bbl029f05_a_PTD",1500,-1.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl030e-a1",2.536,5005,1.4877,4832,"bbl030e06_p_PTD",2.0806,5005,"bbl030e07_a_PTD",5000,0.001442,2.2807,5005,"bbl030e09_p_PTD",2.0184,5005,"bbl030e08_a_PTD",5000,0.001442,2.536,5005,"bbl030e11_a_PTD",5000,0.001442,2.2248,5005,"bbl030e13_p_PTD",,,,2.2542,5005,"bbl030e12_a_PTD",5000,0.001442,,,,,,,,,,,,,,
"bbl030e-a2",1.5132,5962,1.4828,5005,"bbl030e06_p_PTD",1.1075,5962,"bbl030e07_a_PTD",5000,0.25387,,,,1.2758,5962,"bbl030e08_a_PTD",5000,0.25387,1.3866,5962,"bbl030e11_a_PTD",5000,0.25387,,,,,,,1.5132,5962,"bbl030e12_a_PTD",5000,0.25387,,,,,,,,,,,,,,
"bbl031f-a1",1.9869,4666,1.9869,4666,"bbl031f05_p_PTD",1.7551,4832,"bbl031f07_a_PTD",5100,-0.12831,1.4873,6394,"bbl031f09_p_PTD",1.5463,5757,"bbl031f08_a_PTD",5100,-0.12831,,,,,,,,,,,,,,,,,,,,1.8281,4832,"bbl031f04_a_PTD",5100,-0.12831,,,,,,
"bbl031f-a2",1.87,5005,1.5191,5005,"bbl031f05_p_PTD",1.664,5559,"bbl031f07_a_PTD",5100,-0.027127,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,5005,"bbl031f04_a_PTD",5100,-0.027127,,,,,,
"bbl032f-a1",0.64557,575,0.38495,596,"bbl032f02_p_PTD",0.54789,575,"bbl032f03_a_PTD",1001,-0.79981,0.47983,1839,"bbl032f05_p_PTD",0.64557,575,"bbl032f04_a_PTD",1001,-0.79981,0.17708,913,"bbl032f06_a_PTD",1001,-0.79981,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl033c-a1",0.4698,2799,0.43639,1342,"bbl033c02_p_PTD",0.18394,1714,"bbl033c03_a_PTD",1300,1.1064,0.4698,2799,"bbl033c05_p_PTD",0.24727,2703,"bbl033c04_a_PTD",1300,1.1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl034d-a1",2.6232,3652,2.6232,3652,"bbl034d02_p_PTD",0.47111,3652,"bbl034d03_a_PTD",3000,0.28372,,,,0.60054,2760,"bbl034d04_a_PTD",3000,0.28372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl034e-a1",2.492,5367,1.4815,7889,"bbl034e02_p_PTD",1.6764,4201,"bbl034e03_a_PTD",5000,0.10219,2.184,7617,"bbl034e05_p_PTD",2.4653,8170,"bbl034e04_a_PTD",5000,0.10219,2.3009,8461,"bbl034e07_a_PTD",15000,-1.4828,2.492,5367,"bbl034e09_p_PTD",,,,,,,,,,,,,,,,,,,,,,
