,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
0,min040c-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,89.3,0.5707719657385193,0.012737594091861919,0.31442015893820213,1.0173197854064209,baseline
1,min040c-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.08626912384090668,89.3,0.5707719657385193,0.012737594091861919,0.009094819523543362,-0.012911999719185895,ACTIVE_1
2,min040c-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00018698870601353062,89.3,0.5707719657385193,0.012737594091861919,-0.0029336890038725917,-0.04872447644542301,PASSIVE_1
3,min025b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,97.1,0.6686147831454659,0.013436227002070289,0.5509290679528931,1.014233147485812,baseline
4,min025b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00351884617255988,97.1,0.6686147831454659,0.013436227002070289,0.007092010873026504,-0.04200884337514095,ACTIVE_1
5,min025b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,3.4153667515347668e-06,97.1,0.6686147831454659,0.013436227002070289,-0.0015431690318253042,0.053844489943814765,PASSIVE_1
6,min025b-d2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,74.4,0.5762709883667418,0.01090501472196201,0.6093649616015868,1.007518775187614,baseline
7,min025b-d2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0015260366240961228,74.4,0.5762709883667418,0.01090501472196201,0.010427231902289965,-0.023296793576883634,ACTIVE_1
8,min025b-d2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,3.4886213148862084e-05,74.4,0.5762709883667418,0.01090501472196201,-0.0010439838529566357,0.03413993722727347,PASSIVE_1
9,mar014c-b2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,74.9,0.4095634478232834,0.014419969411286999,1.0065171522938523,0.9338965842029454,baseline
10,mar014c-b2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.024789110877463844,74.9,0.4095634478232834,0.014419969411286999,-0.005514755966925388,-0.009895061338376246,ACTIVE_1
11,mar014c-b2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.00022028088384126615,74.9,0.4095634478232834,0.014419969411286999,-0.018680676489472,-0.01989388159037698,PASSIVE_1
12,mar012b-c1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,85.9,0.495651287929243,0.014777512586869785,0.3966657506718919,1.0296037211664346,baseline
13,mar012b-c1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.014076120298530675,85.9,0.495651287929243,0.014777512586869785,-0.0006836716764115118,-0.021133048083055727,ACTIVE_1
14,mar012b-c1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.00015888236657065285,85.9,0.495651287929243,0.014777512586869785,-0.0009515658353610816,-0.026013192768699112,PASSIVE_1
15,mar012b-a2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,75.7,0.5397470366387822,0.010187904868357054,0.18096747616967393,0.9854450034282024,baseline
16,mar012b-a2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.02377122263307474,75.7,0.5397470366387822,0.010187904868357054,-0.00518118797483632,0.051381092609122866,ACTIVE_1
17,mar012b-a2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.0001402760460826951,75.7,0.5397470366387822,0.010187904868357054,0.014430435362092186,-0.042649852322802474,PASSIVE_1
18,ele073b-c2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,76.4,0.43500801424765995,0.018334413558107963,1.1566290451452284,0.7840851341628425,baseline
19,ele073b-c2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0012969902961536526,76.4,0.43500801424765995,0.018334413558107963,0.017457879852632845,-0.020563429904278042,ACTIVE_1
