,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
0,ley046g-59-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,76.5731,0.33077386273537224,0.028565903645895323,4.264236334438408,1.0304893460176705,baseline
1,ley046g-59-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.001770763366553942,76.5731,0.33077386273537224,0.028565903645895323,-0.03387036417871151,-0.14066157195277978,ACTIVE_1
2,ley046g-59-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.0002609859749620916,76.5731,0.33077386273537224,0.028565903645895323,0.019134531652584448,0.109546686356646,PASSIVE_1
3,ley046g-59-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,-0.06919707533103008,76.5731,0.33077386273537224,0.028565903645895323,0.01822253684311289,-0.03592442615427323,PASSIVE_2
4,ley046g-59-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.07074005791900641,76.5731,0.33077386273537224,0.028565903645895323,-0.003952290484466286,0.03545422960897727,ACTIVE_2
5,ley046g-59-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,-0.06926222584343258,76.5731,0.33077386273537224,0.028565903645895323,-0.04350312679447384,0.04402614368031162,PASSIVE_3
6,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,95.0,0.7503876775576634,0.02707275347554036,3.204759893710026,0.9923640060646918,baseline
7,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.00046589905479522823,95.0,0.7503876775576634,0.02707275347554036,-0.002663103465826632,0.004963103458258572,ACTIVE_1
8,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00031264713144616124,95.0,0.7503876775576634,0.02707275347554036,-0.03352229506392338,-0.018319146135055153,PASSIVE_1
9,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,0.0018598645047724033,95.0,0.7503876775576634,0.02707275347554036,-0.029125523708772333,-0.026186739007638293,PASSIVE_2
10,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.001262659898269783,95.0,0.7503876775576634,0.02707275347554036,0.03929809021369726,0.028485335313438626,ACTIVE_2
11,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,0.0017492998788758117,95.0,0.7503876775576634,0.02707275347554036,0.028682147050239894,0.006295586459052528,PASSIVE_3
12,ley046g-31-2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,80.6915,0.28850086524816587,0.02267323324114065,3.2459210558360154,0.986748054508649,baseline
13,ley046g-31-2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.000244355665042639,80.6915,0.28850086524816587,0.02267323324114065,-0.03606569369132565,-0.09244548288315169,ACTIVE_1
14,ley046g-31-2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00026538122861903736,80.6915,0.28850086524816587,0.02267323324114065,0.0232728735694331,0.12362989382052683,PASSIVE_1
15,ley046g-31-2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,0.0061730230408673595,80.6915,0.28850086524816587,0.02267323324114065,-0.0016923499174525433,0.050122339888264276,PASSIVE_2
16,ley046g-31-2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.005793988182743643,80.6915,0.28850086524816587,0.02267323324114065,0.014288210810397297,0.05365808548939745,ACTIVE_2
17,ley046g-31-2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,0.0060261936017205215,80.6915,0.28850086524816587,0.02267323324114065,0.04484409549761285,0.17816131348988548,PASSIVE_3
18,ley046g-36-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,85.0,0.3888065489488814,0.019872408973360668,3.3291558085750466,1.0077187039374946,baseline
19,ley046g-36-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0008503717163857965,85.0,0.3888065489488814,0.019872408973360668,-0.005051590464970704,-0.02783718228904892,ACTIVE_1
20,ley046g-36-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-5.943367609448057e-05,85.0,0.3888065489488814,0.019872408973360668,0.042050204546794104,0.008989339811036046,PASSIVE_1
21,ley046g-36-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,-0.03560254615154371,85.0,0.3888065489488814,0.019872408973360668,-0.0028604596451480284,-0.042282684667355484,PASSIVE_2
22,ley046g-36-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.03828381396206042,85.0,0.3888065489488814,0.019872408973360668,0.00370179561739042,0.023503002205373567,ACTIVE_2
23,ley046g-36-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,-0.03553780907282266,85.0,0.3888065489488814,0.019872408973360668,0.01017050130591495,-0.033724667732252064,PASSIVE_3
24,ley046g-53-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,85.0,0.37867139133243255,0.016840436393616945,3.934536008355354,1.0034163352447085,baseline
