"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_3_snr","ACTIVE_3_bf","ACTIVE_3","ACTIVE_3_tf","ACTIVE_3_tardist","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist","PASSIVE_2_snr","PASSIVE_2_bf","PASSIVE_2","PASSIVE_3_snr","PASSIVE_3_bf","PASSIVE_3","ACTIVE_4_snr","ACTIVE_4_bf","ACTIVE_4","ACTIVE_4_tf","ACTIVE_4_tardist","PASSIVE_4_snr","PASSIVE_4_bf","PASSIVE_4",
"BRT026c-15-2",0.14948,1751,0.10487,5559,"BRT026c09_p_PTD.m",0.14948,1751,"BRT026c11_a_PTD.m",14000,-2.9992,,,,0.031287,1036,"BRT026c12_a_PTD.m",14000,-2.9992,,,,,,-0.02955,12878,"BRT026c08_a_PTD.m",14000,-2.9992,,,,,,,,,,,,,,,
"BRT026c-16-1",0.60217,3917,0.25024,18277,"BRT026c09_p_PTD.m",0.25742,21773,"BRT026c11_a_PTD.m",14000,-1.8376,,,,0.035223,18277,"BRT026c12_a_PTD.m",14000,-1.8376,,,,,,0.60217,3917,"BRT026c08_a_PTD.m",14000,-1.8376,,,,,,,,,,,,,,,
"BRT026c-17-1",1.447,24184,0.3151,6394,"BRT026c04_p_PTD.m",0.91666,15888,"BRT026c08_a_PTD.m",14000,0.78863,0.54336,30899,"BRT026c09_p_PTD.m",1.447,24184,"BRT026c11_a_PTD.m",14000,0.78863,0.9068,1073,"BRT026c12_a_PTD.m",14000,0.78863,,,,,,,,,,,,,,,,,,,,
"BRT026c-17-2",0.25957,17041,0.11099,7355,"BRT026c09_p_PTD.m",0.25957,17041,"BRT026c11_a_PTD.m",14000,0.28358,,,,0.061658,3782,"BRT026c12_a_PTD.m",14000,0.28358,,,,,,0.075653,30899,"BRT026c08_a_PTD.m",14000,0.28358,,,,,,,,,,,,,,,
"BRT026c-18-1",0.12678,8762,0.051706,5183,"BRT026c09_p_PTD.m",4.4409e-16,6174,"BRT026c11_a_PTD.m",14000,-0.67609,,,,-0.0093177,20300,"BRT026c12_a_PTD.m",14000,-0.67609,,,,,,0.12678,8762,"BRT026c08_a_PTD.m",14000,-0.67609,,,,,,,,,,,,,,,
"BRT026c-19-1",0.15086,1150,-0.044071,1632,"BRT026c09_p_PTD.m",-0.086446,1073,"BRT026c11_a_PTD.m",14000,-3.6057,,,,-0.079483,20300,"BRT026c12_a_PTD.m",14000,-3.6057,,,,,,0.15086,1150,"BRT026c08_a_PTD.m",14000,-3.6057,,,,,,,,,,,,,,,
"BRT026c-20-1",3.8733,12007,3.8733,12007,"BRT026c04_p_PTD.m",1.18,12007,"BRT026c08_a_PTD.m",14000,-0.22155,1.1214,11594,"BRT026c09_p_PTD.m",1.2101,12435,"BRT026c11_a_PTD.m",14000,-0.22155,0.66384,12007,"BRT026c12_a_PTD.m",14000,-0.22155,,,,,,,,,,,,,,,,,,,,
"BRT026c-20-2",0.78946,17041,0.47914,22548,"BRT026c09_p_PTD.m",0.78946,17041,"BRT026c11_a_PTD.m",14000,0.28358,,,,0.38019,22548,"BRT026c12_a_PTD.m",14000,0.28358,,,,,,0.70016,23352,"BRT026c08_a_PTD.m",14000,0.28358,,,,,,,,,,,,,,,
"BRT026c-25-1",0.067969,1945,-0.14584,1323,"BRT026c09_p_PTD.m",0.017157,6174,"BRT026c11_a_PTD.m",14000,-2.8476,,,,0.0056006,24184,"BRT026c12_a_PTD.m",14000,-2.8476,,,,,,0.067969,1945,"BRT026c08_a_PTD.m",14000,-2.8476,,,,,,,,,,,,,,,
"BRT026c-25-2",0.6406,17041,0.13851,15888,"BRT026c09_p_PTD.m",0.51602,17041,"BRT026c11_a_PTD.m",14000,0.28358,,,,0.5499,15342,"BRT026c12_a_PTD.m",14000,0.28358,,,,,,0.6406,17041,"BRT026c08_a_PTD.m",14000,0.28358,,,,,,,,,,,,,,,
"BRT026c-27-1",0.38636,1000,-0.076755,17041,"BRT026c09_p_PTD.m",0.38636,1000,"BRT026c11_a_PTD.m",14000,-3.8074,,,,0.0082956,5183,"BRT026c12_a_PTD.m",14000,-3.8074,,,,,,-0.027394,1150,"BRT026c08_a_PTD.m",14000,-3.8074,,,,,,,,,,,,,,,
"BRT026c-29-1",0.18497,14304,0.18497,14304,"BRT026c09_p_PTD.m",0,0,"BRT026c11_a_PTD.m",14000,0.030992,,,,0,0,"BRT026c12_a_PTD.m",14000,0.030992,,,,,,0,0,"BRT026c08_a_PTD.m",14000,0.030992,,,,,,,,,,,,,,,
"BRT026c-31-1",0.21287,2237,0.00054087,1878,"BRT026c09_p_PTD.m",-0.030714,8461,"BRT026c11_a_PTD.m",14000,-2.6458,,,,-0.03201,10079,"BRT026c12_a_PTD.m",14000,-2.6458,,,,,,0.21287,2237,"BRT026c08_a_PTD.m",14000,-2.6458,,,,,,,,,,,,,,,
"BRT026c-33-1",0.15354,1419,0.070525,22548,"BRT026c09_p_PTD.m",0.013223,3652,"BRT026c11_a_PTD.m",14000,-3.3025,,,,0.075089,7617,"BRT026c12_a_PTD.m",14000,-3.3025,,,,,,0.15354,1419,"BRT026c08_a_PTD.m",14000,-3.3025,,,,,,,,,,,,,,,
"BRT026c-34-1",0.62895,14814,0.22665,17648,"BRT026c09_p_PTD.m",0.62895,14814,"BRT026c11_a_PTD.m",14000,0.081534,,,,0.36416,13337,"BRT026c12_a_PTD.m",14000,0.081534,,,,,,0.57893,15342,"BRT026c08_a_PTD.m",14000,0.081534,,,,,,,,,,,,,,,
"BRT026c-41-1",1.6323,18928,1.263,19602,"BRT026c09_p_PTD.m",1.3505,19602,"BRT026c11_a_PTD.m",14000,0.4351,,,,1.0294,19602,"BRT026c12_a_PTD.m",14000,0.4351,,,,,,1.6323,18928,"BRT026c08_a_PTD.m",14000,0.4351,,,,,,,,,,,,,,,
"BRT026c-44-1",0.76691,2317,0.76691,2317,"BRT026c09_p_PTD.m",0.68732,1751,"BRT026c11_a_PTD.m",14000,-2.5951,,,,0.3286,1691,"BRT026c12_a_PTD.m",14000,-2.5951,,,,,,0.50946,2317,"BRT026c08_a_PTD.m",14000,-2.5951,,,,,,,,,,,,,,,
"BRT033b-02-1",0.64163,18277,0.3132,18928,"BRT033b06_p_PTD.m",0.35531,12007,"BRT033b07_a_PTD.m",11000,0.73253,0.45794,18277,"BRT033b09_p_PTD.m",0.64163,18277,"BRT033b08_a_PTD.m",11000,0.73253,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-03-1",14.6516,11594,8.8401,11594,"BRT033b06_p_PTD.m",8.474,11594,"BRT033b07_a_PTD.m",11000,0.075875,14.6516,11594,"BRT033b09_p_PTD.m",9.28,11594,"BRT033b08_a_PTD.m",11000,0.075875,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-09-1",2.141,12007,1.3622,11594,"BRT033b06_p_PTD.m",1.3591,12007,"BRT033b07_a_PTD.m",11000,0.12637,2.141,12007,"BRT033b09_p_PTD.m",1.6035,11594,"BRT033b08_a_PTD.m",11000,0.12637,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-12-1",1.1637,14814,0.41216,14304,"BRT033b06_p_PTD.m",0.42142,14814,"BRT033b07_a_PTD.m",11000,0.42946,0.67452,8170,"BRT033b09_p_PTD.m",1.1637,14814,"BRT033b08_a_PTD.m",11000,0.42946,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-12-2",6.2977,11594,5.0181,11594,"BRT033b06_p_PTD.m",4.431,11594,"BRT033b07_a_PTD.m",11000,0.075875,6.223,11594,"BRT033b09_p_PTD.m",6.2977,11594,"BRT033b08_a_PTD.m",11000,0.075875,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-13-1",0.55465,8170,0.46373,7889,"BRT033b06_p_PTD.m",0.40786,15342,"BRT033b07_a_PTD.m",11000,-0.4291,0.48799,11594,"BRT033b09_p_PTD.m",0.55465,8170,"BRT033b08_a_PTD.m",11000,-0.4291,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-14-1",0.73633,6394,0.46095,9398,"BRT033b06_p_PTD.m",0.73633,6394,"BRT033b07_a_PTD.m",11000,-0.78271,0.66604,7102,"BRT033b09_p_PTD.m",0.60191,6622,"BRT033b08_a_PTD.m",11000,-0.78271,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-15-1",5.1122,11594,3.0363,6858,"BRT033b06_p_PTD.m",4.7881,12007,"BRT033b07_a_PTD.m",11000,0.075875,5.1122,11594,"BRT033b09_p_PTD.m",4.1521,11594,"BRT033b08_a_PTD.m",11000,0.075875,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-33-1",1.4703,11196,0.55555,11196,"BRT033b06_p_PTD.m",1.4703,11196,"BRT033b07_a_PTD.m",11000,0.02548,0.78155,10810,"BRT033b09_p_PTD.m",1.2502,11196,"BRT033b08_a_PTD.m",11000,0.02548,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-41-1",0.28829,3066,0.24935,17041,"BRT033b06_p_PTD.m",0.081124,19602,"BRT033b07_a_PTD.m",11000,-1.8431,0.12992,15888,"BRT033b09_p_PTD.m",0.28829,3066,"BRT033b08_a_PTD.m",11000,-1.8431,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-45-1",2.9479,9398,0.17654,29836,"BRT033b06_p_PTD.m",0.72398,11594,"BRT033b07_a_PTD.m",11000,-0.22708,2.9479,9398,"BRT033b09_p_PTD.m",1.8534,10438,"BRT033b08_a_PTD.m",11000,-0.22708,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-47-1",0.27719,11594,0.061167,9398,"BRT033b06_p_PTD.m",0.24777,12007,"BRT033b07_a_PTD.m",11000,0.075875,0.056151,12878,"BRT033b09_p_PTD.m",0.27719,11594,"BRT033b08_a_PTD.m",11000,0.075875,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-50-1",0.72451,13812,0.4717,1945,"BRT033b06_p_PTD.m",0.72451,13812,"BRT033b07_a_PTD.m",11000,0.32842,0.31517,14814,"BRT033b09_p_PTD.m",0.31298,14304,"BRT033b08_a_PTD.m",11000,0.32842,,,,,,,,,,,,,,,,,,,,,,,,,
"BRT033b-50-2",2.3175,18928,2.3175,18928,"BRT033b09_p_PTD.m",,,,,,,,,,,,,,,,,,,0.6988,19602,"BRT033b08_a_PTD.m",11000,0.78302,,,,,,,,,,,,,,,
"BRT033b-55-1",0.1154,14814,0.1154,14814,"BRT033b09_p_PTD.m",,,,,,,,,,,,,,,,,,,0.070382,13812,"BRT033b08_a_PTD.m",11000,0.42946,,,,,,,,,,,,,,,
"BRT034f-02-1",0.024881,18928,-2.8866e-15,13812,"BRT034f05_p_PTD.m",-2.6645e-15,1370,"BRT034f06_a_PTD.m",9500,0.99452,0,0,"BRT034f08_p_PTD.m",0,0,"BRT034f07_a_PTD.m",9500,0.99452,0,0,"BRT034f10_a_PTD.m",4000,2.2425,0.0011004,14814,"BRT034f04_a_PTD.m",9500,0.99452,0.024881,18928,"BRT034f09_p_PTD.m",,,,,,,,,,,,
"BRT034f-07-1",0.60446,12007,0.0034067,11196,"BRT034f03_p_PTD.m",-0.015148,12007,"BRT034f04_a_PTD.m",9500,0.33788,0.60446,12007,"BRT034f05_p_PTD.m",0.4017,11594,"BRT034f06_a_PTD.m",9500,0.33788,0.15639,11594,"BRT034f07_a_PTD.m",9500,0.33788,,,,,,0.24666,12878,"BRT034f08_p_PTD.m",0.49604,12435,"BRT034f09_p_PTD.m",0.14551,1419,"BRT034f10_a_PTD.m",4000,1.5858,,,,
"BRT034f-33-1",1.3002,3405,0.54254,3782,"BRT034f03_p_PTD.m",0.78643,18277,"BRT034f04_a_PTD.m",9500,-1.4803,1.3002,3405,"BRT034f05_p_PTD.m",0.79546,17041,"BRT034f06_a_PTD.m",9500,-1.4803,1.0388,3288,"BRT034f07_a_PTD.m",9500,-1.4803,,,,,,0.84258,15888,"BRT034f08_p_PTD.m",0.49902,4201,"BRT034f09_p_PTD.m",0.92327,17648,"BRT034f10_a_PTD.m",4000,-0.23235,,,,
"BRT034f-34-1",2.8649,9733,1.031,10079,"BRT034f03_p_PTD.m",2.1176,9733,"BRT034f04_a_PTD.m",9500,0.034957,1.8026,9733,"BRT034f05_p_PTD.m",2.1957,9733,"BRT034f06_a_PTD.m",9500,0.034957,2.0353,9398,"BRT034f07_a_PTD.m",9500,0.034957,,,,,,1.3957,10079,"BRT034f08_p_PTD.m",0.90768,10438,"BRT034f09_p_PTD.m",2.8649,9733,"BRT034f10_a_PTD.m",4000,1.2829,,,,
"BRT036b-01-1",0.13459,9733,0.13459,9733,"BRT036b06_p_PTD.m",0.020491,15342,"BRT036b07_a_PTD.m",9500,0.034957,0.026871,16454,"BRT036b08_p_PTD.m",-0.014455,5559,"BRT036b10_a_PTD.m",9500,0.034957,,,,,,-0.080652,20300,"BRT036b05_a_PTD.m",9500,0.034957,-0.00069395,8762,"BRT036b09_p_PTD.m",-0.0013594,2086,"BRT036b11_p_PTD.m",,,,,,,,,
"BRT036b-06-1",0.22761,5559,0.016062,2760,"BRT036b04_p_PTD.m",-0.022284,3652,"BRT036b05_a_PTD.m",9500,-0.7731,-0.012968,8762,"BRT036b06_p_PTD.m",0.088613,13812,"BRT036b07_a_PTD.m",9500,-0.7731,-0.042728,2086,"BRT036b10_a_PTD.m",9500,-0.7731,,,,,,0.22761,5559,"BRT036b08_p_PTD.m",-0.0030247,1470,"BRT036b09_p_PTD.m",,,,,,-0.13968,2485,"BRT036b11_p_PTD.m",
"BRT036b-07-1",0.2417,16454,0.043878,3288,"BRT036b04_p_PTD.m",0.1065,14814,"BRT036b05_a_PTD.m",9500,0.79244,0.2417,16454,"BRT036b06_p_PTD.m",0.066264,15888,"BRT036b07_a_PTD.m",9500,0.79244,0.12752,7617,"BRT036b10_a_PTD.m",9500,0.79244,,,,,,-0.01278,15888,"BRT036b08_p_PTD.m",0.064787,15888,"BRT036b09_p_PTD.m",,,,,,0.20004,17041,"BRT036b11_p_PTD.m",
"BRT036b-07-2",0.17778,2399,-0.028478,32000,"BRT036b04_p_PTD.m",-0.040039,1576,"BRT036b05_a_PTD.m",9500,-1.9855,0.17778,2399,"BRT036b06_p_PTD.m",0.03937,2317,"BRT036b07_a_PTD.m",9500,-1.9855,0.038217,1278,"BRT036b10_a_PTD.m",9500,-1.9855,,,,,,-0.045335,4351,"BRT036b08_p_PTD.m",0.04782,7102,"BRT036b09_p_PTD.m",,,,,,-0.030619,1036,"BRT036b11_p_PTD.m",
"BRT036b-10-1",0.037325,2573,0.037325,2573,"BRT036b04_p_PTD.m",-0.037892,7355,"BRT036b05_a_PTD.m",9500,-1.8845,0,0,"BRT036b06_p_PTD.m",-0.048571,1323,"BRT036b07_a_PTD.m",9500,-1.8845,0,0,"BRT036b10_a_PTD.m",9500,-1.8845,,,,,,-0.14659,4351,"BRT036b08_p_PTD.m",0,0,"BRT036b09_p_PTD.m",,,,,,-0.03989,6622,"BRT036b11_p_PTD.m",
"BRT036b-11-1",0.099318,17648,0.081936,1234,"BRT036b04_p_PTD.m",-0.050526,5962,"BRT036b05_a_PTD.m",9500,0.89351,-0.029904,7617,"BRT036b06_p_PTD.m",0.0061279,12007,"BRT036b07_a_PTD.m",9500,0.89351,-0.0083373,14814,"BRT036b10_a_PTD.m",9500,0.89351,,,,,,-0.083146,2760,"BRT036b08_p_PTD.m",0.099318,17648,"BRT036b09_p_PTD.m",,,,,,-0.051798,9075,"BRT036b11_p_PTD.m",
"BRT036b-12-1",1.1102e-15,1813,-0.07638,7355,"BRT036b04_p_PTD.m",8.8818e-16,1234,"BRT036b05_a_PTD.m",9500,-2.3895,0,0,"BRT036b06_p_PTD.m",-2.5535e-15,1000,"BRT036b07_a_PTD.m",9500,-2.3895,1.1102e-15,1813,"BRT036b10_a_PTD.m",9500,-2.3895,,,,,,0,0,"BRT036b08_p_PTD.m",0,0,"BRT036b09_p_PTD.m",,,,,,-2.7756e-15,5005,"BRT036b11_p_PTD.m",
"BRT036b-20-1",0.11131,1419,0.11131,1419,"BRT036b04_p_PTD.m",-0.10803,14304,"BRT036b05_a_PTD.m",9500,-2.7431,-1.9984e-15,12007,"BRT036b06_p_PTD.m",0,0,"BRT036b07_a_PTD.m",9500,-2.7431,8.8818e-16,10810,"BRT036b10_a_PTD.m",9500,-2.7431,,,,,,0.028443,1813,"BRT036b08_p_PTD.m",-0.086149,12435,"BRT036b09_p_PTD.m",,,,,,-0.037425,2399,"BRT036b11_p_PTD.m",
"BRT036b-21-1",0.10935,25938,0.036406,22548,"BRT036b04_p_PTD.m",-0.070603,3288,"BRT036b05_a_PTD.m",9500,1.4491,-0.058695,26862,"BRT036b06_p_PTD.m",-0.058015,30899,"BRT036b07_a_PTD.m",9500,1.4491,0.021515,6174,"BRT036b10_a_PTD.m",9500,1.4491,,,,,,0.10935,25938,"BRT036b08_p_PTD.m",0.085876,3526,"BRT036b09_p_PTD.m",,,,,,-0.019484,11196,"BRT036b11_p_PTD.m",
"BRT036b-25-1",0.16791,12878,-0.028916,12878,"BRT036b04_p_PTD.m",0.16791,12878,"BRT036b05_a_PTD.m",9500,0.43891,-0.019538,21024,"BRT036b06_p_PTD.m",-0.041438,23352,"BRT036b07_a_PTD.m",9500,0.43891,-0.018236,19602,"BRT036b10_a_PTD.m",9500,0.43891,,,,,,0.03406,23352,"BRT036b08_p_PTD.m",0.080135,13812,"BRT036b09_p_PTD.m",,,,,,0.059028,7617,"BRT036b11_p_PTD.m",
"BRT036b-28-1",0.23499,16454,0.014876,4832,"BRT036b04_p_PTD.m",-0.057631,1000,"BRT036b05_a_PTD.m",9500,0.79244,0.067519,1370,"BRT036b06_p_PTD.m",0.14932,1000,"BRT036b07_a_PTD.m",9500,0.79244,0.23499,16454,"BRT036b10_a_PTD.m",9500,0.79244,,,,,,0.15007,1945,"BRT036b08_p_PTD.m",-1.1102e-15,2858,"BRT036b09_p_PTD.m",,,,,,-0.078247,12007,"BRT036b11_p_PTD.m",
"BRT036b-29-1",0.26947,10438,0.19345,3917,"BRT036b04_p_PTD.m",0.074797,18928,"BRT036b05_a_PTD.m",9500,0.13585,0.26947,10438,"BRT036b06_p_PTD.m",0.064828,4666,"BRT036b07_a_PTD.m",9500,0.13585,-0.054858,1000,"BRT036b10_a_PTD.m",9500,0.13585,,,,,,0.01074,17041,"BRT036b08_p_PTD.m",-0.049218,16454,"BRT036b09_p_PTD.m",,,,,,0.1353,1191,"BRT036b11_p_PTD.m",
"BRT036b-31-1",0.090382,22548,-0.068289,1522,"BRT036b04_p_PTD.m",0.090382,22548,"BRT036b05_a_PTD.m",9500,1.247,-0.042546,3782,"BRT036b06_p_PTD.m",-0.019111,2014,"BRT036b07_a_PTD.m",9500,1.247,0.047862,10438,"BRT036b10_a_PTD.m",9500,1.247,,,,,,-0.0056996,9398,"BRT036b08_p_PTD.m",0.036323,1470,"BRT036b09_p_PTD.m",,,,,,-0.073668,10079,"BRT036b11_p_PTD.m",
"BRT036b-36-1",1.0995,8170,0.42209,7889,"BRT036b04_p_PTD.m",0.32833,8170,"BRT036b05_a_PTD.m",9500,-0.21759,0.9479,8170,"BRT036b06_p_PTD.m",0.48643,8170,"BRT036b07_a_PTD.m",9500,-0.21759,0.5239,7889,"BRT036b10_a_PTD.m",9500,-0.21759,,,,,,1.0995,8170,"BRT036b08_p_PTD.m",0.56759,8170,"BRT036b09_p_PTD.m",,,,,,1.0372,8170,"BRT036b11_p_PTD.m",
"BRT036b-38-1",0.95338,10810,-2.1094e-15,4201,"BRT036b04_p_PTD.m",0.57583,9075,"BRT036b05_a_PTD.m",9500,0.18637,0.95338,10810,"BRT036b06_p_PTD.m",0.26127,9398,"BRT036b07_a_PTD.m",9500,0.18637,0.041297,10079,"BRT036b10_a_PTD.m",9500,0.18637,,,,,,0.38437,1470,"BRT036b08_p_PTD.m",0.51945,4666,"BRT036b09_p_PTD.m",,,,,,0.0059506,9075,"BRT036b11_p_PTD.m",
"BRT036b-40-1",8.8818e-16,5183,-2.4425e-15,29836,"BRT036b04_p_PTD.m",0,0,"BRT036b05_a_PTD.m",9500,-0.87414,0,0,"BRT036b06_p_PTD.m",-2.7756e-15,1751,"BRT036b07_a_PTD.m",9500,-0.87414,8.8818e-16,5183,"BRT036b10_a_PTD.m",9500,-0.87414,,,,,,0,0,"BRT036b08_p_PTD.m",0,0,"BRT036b09_p_PTD.m",,,,,,2.2204e-16,1691,"BRT036b11_p_PTD.m",
"BRT036b-40-2",2.0445,10438,2.0445,10438,"BRT036b04_p_PTD.m",1.3041,9733,"BRT036b05_a_PTD.m",9500,0.13585,1.0563,9733,"BRT036b06_p_PTD.m",0.72979,10079,"BRT036b07_a_PTD.m",9500,0.13585,0.062321,10079,"BRT036b10_a_PTD.m",9500,0.13585,,,,,,0.33983,10079,"BRT036b08_p_PTD.m",0.60228,10079,"BRT036b09_p_PTD.m",,,,,,0.24815,10079,"BRT036b11_p_PTD.m",
"BRT036b-45-1",1.6827,8461,1.4106,27819,"BRT036b04_p_PTD.m",1.3396,11594,"BRT036b05_a_PTD.m",9500,-0.1671,1.6279,28810,"BRT036b06_p_PTD.m",1.388,11594,"BRT036b07_a_PTD.m",9500,-0.1671,0.95495,12435,"BRT036b10_a_PTD.m",9500,-0.1671,,,,,,1.3702,8170,"BRT036b08_p_PTD.m",1.6827,8461,"BRT036b09_p_PTD.m",,,,,,1.4968,7889,"BRT036b11_p_PTD.m",
"BRT036b-46-1",0.97317,9075,0.59805,8762,"BRT036b04_p_PTD.m",0.81228,9075,"BRT036b05_a_PTD.m",9500,-0.06603,0.61066,9733,"BRT036b06_p_PTD.m",0.97317,9075,"BRT036b07_a_PTD.m",9500,-0.06603,0.9279,9075,"BRT036b10_a_PTD.m",9500,-0.06603,,,,,,0.67508,9075,"BRT036b08_p_PTD.m",0.52013,9075,"BRT036b09_p_PTD.m",,,,,,0.60694,9398,"BRT036b11_p_PTD.m",
"BRT036b-46-2",2.1091,8461,1.925,8170,"BRT036b04_p_PTD.m",2.1091,8461,"BRT036b05_a_PTD.m",9500,-0.1671,2.0676,8170,"BRT036b06_p_PTD.m",1.5892,8461,"BRT036b07_a_PTD.m",9500,-0.1671,1.3441,8170,"BRT036b10_a_PTD.m",9500,-0.1671,,,,,,1.7507,8170,"BRT036b08_p_PTD.m",1.7431,8461,"BRT036b09_p_PTD.m",,,,,,0.49477,8170,"BRT036b11_p_PTD.m",
"BRT037b-01-1",0.15113,18928,0.061024,5367,"BRT037b05_p_PTD.m",0.067498,2160,"BRT037b06_a_PTD.m",8500,1.155,-0.04817,17648,"BRT037b07_p_PTD.m",,,,,,,,,,,0.15113,18928,"BRT037b04_a_PTD.m",8500,1.155,,,,,,,,,,,,,,,
"BRT037b-03-1",0.18002,5757,-2.9976e-15,5757,"BRT037b03_p_PTD.m",-0.092688,3782,"BRT037b04_a_PTD.m",8500,-0.56215,0.18002,5757,"BRT037b05_p_PTD.m",0,0,"BRT037b06_a_PTD.m",8500,-0.56215,,,,,,,,,,,-2.5535e-15,1234,"BRT037b07_p_PTD.m",,,,,,,,,,,,
"BRT037b-10-1",0.078214,6622,-0.048005,23352,"BRT037b03_p_PTD.m",-0.11119,9075,"BRT037b04_a_PTD.m",8500,-0.3602,0.078214,6622,"BRT037b05_p_PTD.m",-0.024061,4351,"BRT037b06_a_PTD.m",8500,-0.3602,,,,,,,,,,,-0.14896,2014,"BRT037b07_p_PTD.m",,,,,,,,,,,,
"BRT037b-13-1",0.18734,29836,0.022326,5757,"BRT037b05_p_PTD.m",0.10416,1000,"BRT037b06_a_PTD.m",8500,1.8115,0.18734,29836,"BRT037b07_p_PTD.m",0.035086,1036,"BRT037b08_a_PTD.m",8500,1.8115,,,,,,,,,,,0.15922,3288,"BRT037b09_p_PTD.m",,,,,,,,,,,,
"BRT037b-13-2",0.083201,21773,-0.10417,1419,"BRT037b05_p_PTD.m",-0.025068,24184,"BRT037b06_a_PTD.m",8500,1.357,0.083201,21773,"BRT037b07_p_PTD.m",,,,,,,,,,,0.070957,2237,"BRT037b04_a_PTD.m",8500,1.357,,,,,,,,,,,,,,,
"BRT037b-15-1",0.25835,3652,0.21913,9398,"BRT037b05_p_PTD.m",0.12111,1278,"BRT037b06_a_PTD.m",8500,-1.2188,0.25835,3652,"BRT037b07_p_PTD.m",,,,,,,,,,,-0.037975,1878,"BRT037b04_a_PTD.m",8500,-1.2188,,,,,,,,,,,,,,,
"BRT037b-24-1",0.23821,13337,0.12334,15342,"BRT037b05_p_PTD.m",0.23821,13337,"BRT037b06_a_PTD.m",8500,0.6499,0.091493,2665,"BRT037b07_p_PTD.m",,,,,,,,,,,0.19291,12435,"BRT037b04_a_PTD.m",8500,0.6499,,,,,,,,,,,,,,,
"BRT037b-24-2",0.86944,25938,0.08071,27819,"BRT037b05_p_PTD.m",0.24623,25938,"BRT037b06_a_PTD.m",8500,1.6095,0.62315,27819,"BRT037b07_p_PTD.m",0.31329,29836,"BRT037b08_a_PTD.m",8500,1.6095,,,,,,0.2352,10438,"BRT037b04_a_PTD.m",8500,1.6095,0.86944,25938,"BRT037b09_p_PTD.m",,,,,,,,,,,,
