"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_3_snr","ACTIVE_3_bf","ACTIVE_3","ACTIVE_3_tf","ACTIVE_3_tardist","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist","PASSIVE_2_snr","PASSIVE_2_bf","PASSIVE_2","PASSIVE_3_snr","PASSIVE_3_bf","PASSIVE_3","ACTIVE_4_snr","ACTIVE_4_bf","ACTIVE_4","ACTIVE_4_tf","ACTIVE_4_tardist","PASSIVE_4_snr","PASSIVE_4_bf","PASSIVE_4",
"BRT039c-45-1",0.49613,5598,0.27968,5598,"BRT039c05_p_PTD.m",0.49613,5598,"BRT039c06_a_PTD.m",5000,0.16298,0.46929,536,"BRT039c07_p_PTD.m",0.42225,5405,"BRT039c08_a_PTD.m",5000,0.16298,,,,,,0.35583,5598,"BRT039c04_a_PTD.m",5000,0.16298,0.40322,5797,"BRT039c09_p_PTD.m",,,,,,,,,,,,
"TAR010c-01-1",0.13199,604,-0.097637,525,"TAR010c04_p_PTD.m",-0.078629,1554,"TAR010c09_a_PTD.m",500,0.27262,0.019346,828,"TAR010c10_p_PTD.m",0.031743,1610,"TAR010c11_a_PTD.m",500,0.27262,,,,,,,,,,,0.13199,604,"TAR010c12_p_PTD.m",,,,,,,,,,,,
"TAR010c-06-1",0.06424,370,0.016692,1260,"TAR010c04_p_PTD.m",0.055282,1095,"TAR010c09_a_PTD.m",500,-0.4344,0.06424,370,"TAR010c10_p_PTD.m",0.057073,1305,"TAR010c11_a_PTD.m",500,-0.4344,,,,,,,,,,,-0.020225,4000,"TAR010c12_p_PTD.m",,,,,,,,,,,,
"TAR010c-07-1",0.052877,888,-0.07355,397,"TAR010c10_p_PTD.m",0.052877,888,"TAR010c11_a_PTD.m",500,0.82863,-0.0152,490,"TAR010c12_p_PTD.m",,,,,,,,,,,-0.092207,648,"TAR010c09_a_PTD.m",500,0.82863,,,,,,,,,,,,,,,
"TAR010c-09-1",0.041831,204,0.041831,204,"TAR010c10_p_PTD.m",-0.038027,2628,"TAR010c11_a_PTD.m",500,-1.2934,0.033335,144,"TAR010c12_p_PTD.m",,,,,,,,,,,-0.048991,211,"TAR010c09_a_PTD.m",500,-1.2934,,,,,,,,,,,,,,,
"TAR010c-12-1",0,2366,-0.027166,2919,"TAR010c10_p_PTD.m",0,2366,"TAR010c11_a_PTD.m",500,2.2425,-0.040002,772,"TAR010c12_p_PTD.m",,,,,,,,,,,-0.011979,184,"TAR010c09_a_PTD.m",500,2.2425,,,,,,,,,,,,,,,
"TAR010c-14-1",0.062593,2919,0.043193,1788,"TAR010c10_p_PTD.m",0.021981,2819,"TAR010c11_a_PTD.m",500,2.5455,-0.021422,3477,"TAR010c12_p_PTD.m",,,,,,,,,,,0.062593,2919,"TAR010c09_a_PTD.m",500,2.5455,,,,,,,,,,,,,,,
"TAR010c-15-1",0.076008,2057,-0.04352,457,"TAR010c10_p_PTD.m",-0.014158,1351,"TAR010c11_a_PTD.m",500,2.0405,0.038338,2130,"TAR010c12_p_PTD.m",,,,,,,,,,,0.076008,2057,"TAR010c09_a_PTD.m",500,2.0405,,,,,,,,,,,,,,,
"TAR010c-15-2",0.053243,563,0.043777,134,"TAR010c10_p_PTD.m",-0.030698,252,"TAR010c11_a_PTD.m",500,0.17121,0.053243,563,"TAR010c12_p_PTD.m",,,,,,,,,,,-0.066039,1852,"TAR010c09_a_PTD.m",500,0.17121,,,,,,,,,,,,,,,
"TAR010c-18-1",0.00060133,204,-0.07799,695,"TAR010c10_p_PTD.m",0,1351,"TAR010c11_a_PTD.m",500,-1.2934,0.00060133,204,"TAR010c12_p_PTD.m",,,,,,,,,,,4.4409e-16,190,"TAR010c09_a_PTD.m",500,-1.2934,,,,,,,,,,,,,,,
