,cellid,modelname,state_sig,state_chan,MI,r,r_se,d,g,state_chan_alt
22,ley046f-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0002646824759402119,0.3271485633219825,0.0196853177161142,-0.005068531457521319,-0.028383164032832853,ACTIVE_1
23,ley046f-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00018387480061051256,0.3271485633219825,0.0196853177161142,0.032508131811671066,0.010193821651232143,PASSIVE_1
24,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9343559796584385,0.0030364236232795667,1.4613681680271533,0.9976371031148931,baseline
25,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00020533168395647997,0.9343559796584385,0.0030364236232795667,-0.009598062756369001,-0.0010863556692845703,ACTIVE_1
26,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.0012255233531614034,0.9343559796584385,0.0030364236232795667,0.0005854505477387422,0.010932318400584293,ACTIVE_2
27,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.0007505376673905431,0.9343559796584385,0.0030364236232795667,0.021303386066440937,-0.001154774706801912,PASSIVE_1
28,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_3,0.0007518561541738375,0.9343559796584385,0.0030364236232795667,0.012009745319140213,-0.0017734084365224451,ACTIVE_3
29,bbl030e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_4,-4.474844272396838e-05,0.9343559796584385,0.0030364236232795667,-0.019237465894328475,0.0010670439729526177,ACTIVE_4
30,bbl031f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8892515290070779,0.010001539676232341,1.3454237057668268,1.0049314593797354,baseline
31,bbl031f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,-0.00018648706448968838,0.8892515290070779,0.010001539676232341,0.027783598748920918,0.00246756853121551,ACTIVE_0
32,bbl031f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00042203841086877776,0.8892515290070779,0.010001539676232341,0.02940583834511971,-0.010920163852360033,ACTIVE_1
33,bbl031f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.0007708101753373236,0.8892515290070779,0.010001539676232341,0.015875310175266673,-0.012715094711404501,PASSIVE_1
34,bbl026f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8073153914479247,0.008179275432206088,0.4692335570581007,1.0080083128086113,baseline
35,bbl026f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0001354731589335051,0.8073153914479247,0.008179275432206088,0.033809504347321266,-0.025276488288706028,ACTIVE_1
36,bbl026f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.0002714025816916281,0.8073153914479247,0.008179275432206088,-0.02349597139481558,0.0026628995733921678,ACTIVE_2
37,bbl021h-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.7782600028904538,0.013264866055003377,0.4376137726795305,0.9891733481819325,baseline
38,bbl021h-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0027205545162498454,0.7782600028904538,0.013264866055003377,-0.01772984922070821,0.02795968623258453,ACTIVE_1
39,bbl021h-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-6.957315899658232e-05,0.7782600028904538,0.013264866055003377,0.0016160843557131107,0.024021575503998263,ACTIVE_2
40,bbl021h-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.0012872340024952154,0.7782600028904538,0.013264866055003377,0.016100821585588936,-0.028638699142654343,PASSIVE_1
41,TTL066e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8519342200827275,0.01495734044035788,0.23816880535465373,1.0208109645393253,baseline
42,TTL066e-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.0021206700794523916,0.8519342200827275,0.01495734044035788,0.002663992800748342,-0.003779817592452518,ACTIVE_0
43,ley049h-a2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9367326633127154,0.0037179386382358947,0.7483172223790093,0.9978081888497489,baseline
44,ley049h-a2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.0006059165038716346,0.9367326633127154,0.0037179386382358947,-0.031030797872991223,0.004540201609546247,ACTIVE_0
45,ley049h-a2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00014437087435538297,0.9367326633127154,0.0037179386382358947,0.018954211446387734,0.0053107642508356725,ACTIVE_1
46,ley049h-a2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,3.931931486475727e-05,0.9367326633127154,0.0037179386382358947,0.029997098003490645,-0.005483314862881156,PASSIVE_1
47,bbl081d-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.7424368956917846,0.013015921792954459,1.1669948710620912,1.0028525516430213,baseline
48,bbl081d-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0009198242228858665,0.7424368956917846,0.013015921792954459,-0.02515012796340793,0.03455497743123294,ACTIVE_1
49,bbl081d-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.0017605212284627265,0.7424368956917846,0.013015921792954459,0.010950630078940132,-0.005126812408676246,PASSIVE_1
50,bbl081d-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.0014101604430105299,0.7424368956917846,0.013015921792954459,0.012519059132100269,-0.03256724572454176,ACTIVE_2
51,bbl081d-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,-0.0001769728750895458,0.7424368956917846,0.013015921792954459,0.011345670246938756,-0.019370727421686353,PASSIVE_2
52,bbl031f-a2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8782729305318882,0.008518738617650908,0.9915237725176602,1.004722655635606,baseline
53,bbl031f-a2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,-4.2067423554237563e-05,0.8782729305318882,0.008518738617650908,-0.0029264156107328123,-0.005525660348698919,ACTIVE_0
54,bbl031f-a2,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00011799910115573499,0.8782729305318882,0.008518738617650908,-0.009922355799113974,-0.005401357588577913,ACTIVE_1
55,TTL062a-a4,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.425678403482188,0.019354368304122856,0.12121846122441218,0.9515496367509237,baseline
56,TTL062a-a4,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.018937302302277546,0.425678403482188,0.019354368304122856,0.005287063982973721,0.07859791683992375,ACTIVE_1
57,TTL030c-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.6075049260196094,0.014170402661496691,0.11884452684993947,0.973621365323312,baseline
58,TTL030c-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0006813192263099723,0.6075049260196094,0.014170402661496691,0.0003720189843420935,0.03595223696829734,ACTIVE_1
59,TTL030c-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.00012285672702732099,0.6075049260196094,0.014170402661496691,0.0022727397188306666,0.0334962791025163,PASSIVE_1
60,TTL055d-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.6511161940333953,0.018480261637018706,1.4529992946492323,0.9721952837395355,baseline
61,TTL055d-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0005618647439479,0.6511161940333953,0.018480261637018706,0.001245098548729902,0.0465208574848845,ACTIVE_1
62,ley046g-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.37265562799840246,0.009923004243930486,3.9416788185800824,0.9910359831839848,baseline
63,ley046g-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0001993431434795404,0.37265562799840246,0.009923004243930486,-0.021602824963243582,-0.009626091040837401,ACTIVE_1
64,ley046g-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.0003327736388673241,0.37265562799840246,0.009923004243930486,-0.00667449826058496,0.06942959495225941,PASSIVE_1
65,ley046g-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,-0.01850947498821962,0.37265562799840246,0.009923004243930486,-0.04055030491704794,-0.04398573621654224,PASSIVE_2
66,ley046g-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.02030540667248122,0.37265562799840246,0.009923004243930486,0.020319934599762203,0.020107755754686544,ACTIVE_2
