"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","PASSIVE_2_snr","PASSIVE_2_bf","PASSIVE_2","ACTIVE_3_snr","ACTIVE_3_bf","ACTIVE_3","ACTIVE_3_tf","ACTIVE_3_tardist","PASSIVE_3_snr","PASSIVE_3_bf","PASSIVE_3","ACTIVE_4_snr","ACTIVE_4_bf","ACTIVE_4","ACTIVE_4_tf","ACTIVE_4_tardist","PASSIVE_4_snr","PASSIVE_4_bf","PASSIVE_4","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist",
"bbl074g-a1",4.7301,5040,4.2778,9464,"bbl074g03_p_PTD",4.1962,5040,"bbl074g05_a_PTD",4500,0.1635,3.8836,6906,"bbl074g06_p_PTD",2.7747,7152,"bbl074g07_a_PTD",4500,0.1635,4.7301,5040,"bbl074g08_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"bbl078k-a1",4.9559,2779,4.9559,2779,"bbl078k06_p_PTD",1.9438,2779,"bbl078k07_a_PTD",2850,-0.036396,4.4656,2779,"bbl078k08_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl081d-a1",0.24127,2520,-0.026609,3109,"bbl081d03_p_PTD",0.24127,2520,"bbl081d04_a_PTD",2000,0.33342,0.10221,2703,"bbl081d05_p_PTD",0.11736,7459,"bbl081d06_a_PTD",2000,0.33342,0.009736,540,"bbl081d07_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"bbl081d-a2",0.09973,3334,0.09973,3334,"bbl081d03_p_PTD",-0.014586,268,"bbl081d04_a_PTD",2000,0.73725,0.029843,1972,"bbl081d05_p_PTD",-0.022819,2042,"bbl081d06_a_PTD",2000,0.73725,-0.041418,1490,"bbl081d07_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"ley011c-a1",3.0038,5005,1.3901,5757,"ley011c04_p_PTD",3.0038,5005,"ley011c06_a_PTD",5500,-0.13606,2.3357,5757,"ley011c07_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley026g-a1",6.3968,5367,4.7053,5367,"ley026g04_p_PTD",6.2539,5367,"ley026g05_a_PTD",12500,-1.2197,6.3968,5367,"ley026g06_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley027f-a1",5.4217,5367,3.7735,5005,"ley027f04_p_PTD",5.4217,5367,"ley027f05_a_PTD",6000,-0.16085,4.4746,5367,"ley027f06_p_PTD",3.313,5183,"ley027f07_a_PTD",1500,1.8392,,,,,,,,,,,,,,,,,,,,,,,,,
"ley027g-a1",0.81153,17041,0.2032,19602,"ley027g04_p_PTD",0.4749,6858,"ley027g05_a_PTD",6700,1.3468,0.41884,12878,"ley027g06_p_PTD",0.81153,17041,"ley027g07_a_PTD",1675,3.3468,0.37178,7617,"ley027g08_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"ley027g-a2",1.773,6622,0.90869,6858,"ley027g04_p_PTD",1.349,6622,"ley027g05_a_PTD",6700,-0.016894,1.2627,6394,"ley027g06_p_PTD",1.773,6622,"ley027g07_a_PTD",1675,1.9831,1.0752,6622,"ley027g08_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"ley034g-a1",11.3348,5005,9.1082,5005,"ley034g02_p_PTD",8.625,5005,"ley034g03_a_PTD",5200,-0.055142,11.3348,5005,"ley034g04_p_PTD",8.687,4832,"ley034g06_a_PTD",2000,1.3234,6.6537,4832,"ley034g07_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"ley035c-a1",0.92416,12007,0.92416,12007,"ley035c05_p_PTD",0.91935,14304,"ley035c06_a_PTD",9500,0.33788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley040j-a1",0.38029,9398,0.16888,6394,"ley040j03_p_PTD",0.38029,9398,"ley040j04_a_PTD",5000,0.91043,0.33676,9398,"ley040j07_p_PTD",0.29311,5962,"ley040j06_a_PTD",12500,-0.4115,,,,,,,,,,,,,,,,,,,,,,,,,
"ley040k-a1",3.0561,13812,2.6237,13812,"ley040k03_p_PTD",2.7616,13812,"ley040k04_a_PTD",13400,0.043689,2.927,13812,"ley040k05_p_PTD",3.0561,13812,"ley040k06_a_PTD",3000,2.2029,2.5634,13337,"ley040k08_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"ley041l-a1",7.8199,32000,5.6059,32000,"ley041l02_p_PTD",5.1319,32000,"ley041l05_a_PTD",13000,1.2996,5.8816,32000,"ley041l06_p_PTD",2.5903,32000,"ley041l10_a_PTD",17000,0.91254,7.8199,32000,"ley041l08_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"ley042i-a1",10.8291,30899,10.8291,30899,"ley042i03_p_PTD",7.419,29836,"ley042i04_a_PTD",11000,1.4901,6.9794,29836,"ley042i05_p_PTD",9.8772,29836,"ley042i06_a_PTD",4000,2.9495,10.3046,30899,"ley042i07_p_PTD",,,,,,,,,,,,,,,,,,,,,,
"ley046f-01-1",0.28951,9138,0.28951,9138,"ley046f05_p_PTD.m",0.1654,1043,"ley046f06_a_PTD.m",6000,0.60692,0.13039,1043,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-03-1",0.8101,4866,0.64067,5040,"ley046f05_p_PTD.m",0.80098,5040,"ley046f06_a_PTD.m",6000,-0.30223,0.8101,4866,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-06-1",0.97719,11274,0.67183,10150,"ley046f05_p_PTD.m",0.97719,11274,"ley046f06_a_PTD.m",6000,0.90997,0.87724,10886,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-08-1",1.5706,11274,1.0582,5797,"ley046f05_p_PTD.m",0.92426,6669,"ley046f06_a_PTD.m",6000,0.90997,1.5706,11274,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-12-1",1.5252,5598,0.99283,6004,"ley046f05_p_PTD.m",1.4149,5598,"ley046f06_a_PTD.m",6000,-0.10005,1.5252,5598,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-13-1",0.14029,11676,0.14029,11676,"ley046f05_p_PTD.m",-0.05345,1429,"ley046f06_a_PTD.m",6000,0.96051,-0.1103,12969,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-21-1",0.052008,15450,-0.020425,1287,"ley046f05_p_PTD.m",0.052008,15450,"ley046f06_a_PTD.m",6000,1.3646,-0.011207,10150,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-22-1",0.41449,13431,0.41449,13431,"ley046f05_p_PTD.m",0.28867,14405,"ley046f06_a_PTD.m",6000,1.1625,0.10742,9138,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-27-1",0.1415,639,0.047197,14918,"ley046f05_p_PTD.m",0.12046,3551,"ley046f06_a_PTD.m",6000,-3.2311,0.1415,639,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-28-1",0.15793,3197,0.085835,5797,"ley046f05_p_PTD.m",0.15793,3197,"ley046f06_a_PTD.m",6000,-0.90824,-0.03411,5040,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-30-1",0.1584,1333,0.031467,4866,"ley046f05_p_PTD.m",0.1584,1333,"ley046f06_a_PTD.m",6000,-2.1703,0.020852,12969,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-32-1",0.1405,12092,0.016922,555,"ley046f05_p_PTD.m",0.08064,710,"ley046f06_a_PTD.m",6000,1.011,0.1405,12092,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-38-1",0.13265,1043,0.13265,1043,"ley046f05_p_PTD.m",-0.015847,7152,"ley046f06_a_PTD.m",6000,-2.5242,-0.06724,2779,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-41-1",0.066136,518,-0.085452,907,"ley046f05_p_PTD.m",0.066136,518,"ley046f06_a_PTD.m",6000,-3.5339,0.025667,9801,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-44-1",0.10652,845,0.044537,12523,"ley046f05_p_PTD.m",0.093493,4085,"ley046f06_a_PTD.m",6000,-2.8279,0.10652,845,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-55-1",0.097158,6906,-0.039045,845,"ley046f05_p_PTD.m",0.097158,6906,"ley046f06_a_PTD.m",6000,0.20289,-0.038205,555,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-60-1",0.08045,4230,0.078801,5040,"ley046f05_p_PTD.m",0.08045,4230,"ley046f06_a_PTD.m",6000,-0.5043,0.043431,2779,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046f-62-1",0.078799,9801,0.022513,1587,"ley046f05_p_PTD.m",0.078799,9801,"ley046f06_a_PTD.m",6000,0.70797,0.026923,9138,"ley046f07_p_PTD.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ley046g-04-1",5.3574,5757,3.7766,9138,"ley046g01_p_PTD.m",2.5405,5797,"ley046g02_a_PTD.m",5100,0.17482,3.2846,9138,"ley046g03_p_PTD.m",2.5598,9733,"ley046g06_a_PTD.m",12000,-1.0596,5.3574,5757,"ley046g05_p_PTD.m",,,,,,4.9488,5559,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-11-1",0.20925,1111,0.19186,8824,"ley046g01_p_PTD.m",-0.010676,7944,"ley046g02_a_PTD.m",5100,-2.1986,0.19309,5040,"ley046g03_p_PTD.m",0.20925,1111,"ley046g06_a_PTD.m",12000,-3.4331,0.0068686,8762,"ley046g05_p_PTD.m",,,,,,0.099088,15342,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-12-1",1.0647,5183,0.73478,5219,"ley046g01_p_PTD.m",0.47543,5040,"ley046g02_a_PTD.m",5100,0.02329,0.8072,5040,"ley046g03_p_PTD.m",0.7797,4832,"ley046g06_a_PTD.m",12000,-1.2112,1.0647,5183,"ley046g05_p_PTD.m",,,,,,0.90194,5367,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-23-1",1.5905,5797,1.479,5405,"ley046g01_p_PTD.m",1.5426,6004,"ley046g02_a_PTD.m",5100,0.18481,1.5905,5797,"ley046g03_p_PTD.m",1.3039,5962,"ley046g06_a_PTD.m",12000,-1.0497,1.3995,5757,"ley046g05_p_PTD.m",,,,,,1.4378,6174,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
